epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.6274,2.60229,8.18177,1.64748,0.77693,0.13889,0.14743,0.08199,2.29661,4.91236,1.42059,0.000326241,0.000326241,0.000326241
2,38.9299,2.11212,2.68587,1.32187,0.59226,0.47638,0.49626,0.24452,2.03862,1.78658,1.34823,0.000633455,0.000633455,0.000633455
3,57.2146,1.96661,1.89457,1.25367,0.29623,0.42292,0.236,0.09989,2.2612,17.9765,1.56007,0.00091427,0.00091427,0.00091427
4,74.4019,1.90114,1.54985,1.24389,0.7451,0.56714,0.57265,0.29372,1.90292,5.81042,1.30662,0.0008812,0.0008812,0.0008812
5,91.5025,1.80739,1.41644,1.20523,0.81046,0.65708,0.75255,0.35894,1.77248,1.34758,1.19124,0.0008416,0.0008416,0.0008416
6,109.436,1.7825,1.31281,1.19026,0.89512,0.7957,0.8404,0.42393,1.78387,1.05514,1.18948,0.000802,0.000802,0.000802
7,126.857,1.77711,1.23528,1.17285,0.80933,0.77633,0.81716,0.42227,1.66053,1.00133,1.15066,0.0007624,0.0007624,0.0007624
8,143.9,1.67584,1.14227,1.15753,0.85637,0.79827,0.87096,0.4497,1.63182,0.99962,1.13248,0.0007228,0.0007228,0.0007228
9,161.592,1.69473,1.1199,1.14656,0.85513,0.84211,0.87119,0.44684,1.6522,0.90677,1.13829,0.0006832,0.0006832,0.0006832
10,179.38,1.66124,1.09161,1.11037,0.90404,0.83638,0.87038,0.45693,1.64382,0.928,1.12911,0.0006436,0.0006436,0.0006436
11,196.708,1.60006,1.00748,1.11925,0.89433,0.85546,0.91426,0.50062,1.53586,0.84714,1.08564,0.000604,0.000604,0.000604
12,214.063,1.56216,0.99464,1.11593,0.91498,0.89799,0.92021,0.47589,1.61516,0.85676,1.1181,0.0005644,0.0005644,0.0005644
13,232.013,1.597,0.98684,1.11004,0.90962,0.84872,0.89217,0.50143,1.56882,0.86765,1.08983,0.0005248,0.0005248,0.0005248
14,248.987,1.5333,0.88845,1.07705,0.91231,0.85943,0.92447,0.51469,1.5507,0.80309,1.07703,0.0004852,0.0004852,0.0004852
15,265.915,1.51357,0.89161,1.07517,0.89653,0.92846,0.95415,0.53404,1.49725,0.77125,1.05872,0.0004456,0.0004456,0.0004456
16,285.691,1.46431,0.85734,1.10912,0.94363,0.91602,0.94728,0.55671,1.46607,0.74394,1.05477,0.000406,0.000406,0.000406
17,302.741,1.47393,0.85102,1.10371,0.93285,0.94594,0.94213,0.54978,1.48991,0.75152,1.05204,0.0003664,0.0003664,0.0003664
18,319.519,1.46373,0.80877,1.09761,0.93373,0.93019,0.94867,0.5498,1.47868,0.73757,1.05894,0.0003268,0.0003268,0.0003268
19,337.21,1.39518,0.76445,1.06728,0.96536,0.93617,0.95795,0.56911,1.41697,0.68834,1.04011,0.0002872,0.0002872,0.0002872
20,353.924,1.34864,0.73227,1.05357,0.90566,0.93637,0.9539,0.55926,1.45882,0.68681,1.05403,0.0002476,0.0002476,0.0002476
21,370.636,1.36472,0.72683,1.05551,0.96361,0.90434,0.95533,0.57881,1.41648,0.6656,1.04173,0.000208,0.000208,0.000208
22,388.073,1.34401,0.71983,1.06473,0.93452,0.90728,0.95441,0.57913,1.39451,0.68194,1.03889,0.0001684,0.0001684,0.0001684
23,405.216,1.34143,0.706,1.04405,0.92686,0.92924,0.95902,0.58322,1.39892,0.65849,1.03841,0.0001288,0.0001288,0.0001288
24,422.11,1.31535,0.70131,1.03548,0.90956,0.94579,0.95979,0.59393,1.36245,0.65634,1.02406,8.92e-05,8.92e-05,8.92e-05
25,439.046,1.31282,0.69377,1.03703,0.91502,0.93314,0.96232,0.57941,1.40376,0.66396,1.03019,4.96e-05,4.96e-05,4.96e-05
